Opening graph file ten_spot_hexlike.graph ...
File opened, performing sanity checks ...
    ... sanity checks passed!

All paths examined!
    No solutions found!
         11350167 function calls (9401979 primitive calls) in 24.846 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       25    0.000    0.000    0.000    0.000 os.py:754(encode)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       11    0.000    0.000    0.000    0.000 argparse.py:832(__init__)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       77    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 argparse.py:1654(_add_action)
        6    0.000    0.000    0.000    0.000 enum.py:977(__and__)
       60    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
        1    0.000    0.000    0.001    0.001 koenigsberg.py:52(read_graph_file)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       70    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
      7/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     11/2    0.000    0.000    0.007    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       79    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.015    0.015 argparse.py:1705(__init__)
       11    0.000    0.000    0.009    0.001 argparse.py:2553(_get_formatter)
        1    0.000    0.000    0.001    0.001 argparse.py:1843(parse_known_args)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000   24.824   24.824 koenigsberg_lib.py:247(solve_from_multiple)
       43    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
       26    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       29    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.005    0.002 gettext.py:598(translation)
       26    0.000    0.000    0.003    0.000 re.py:250(compile)
       12    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 argparse.py:918(__init__)
        6    0.000    0.000    0.001    0.000 sre_compile.py:622(_code)
       60    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 util.py:246(<dictcomp>)
        2    0.000    0.000    0.000    0.000 argparse.py:1632(__init__)
      6/5    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       23    0.000    0.000    0.000    0.000 argparse.py:1379(_registry_get)
       11    0.000    0.000    0.000    0.000 argparse.py:215(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        6    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       21    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       11    0.000    0.000    0.000    0.000 argparse.py:1579(_pop_action_class)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      3/2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
        2    0.000    0.000    0.000    0.000 argparse.py:2431(_get_values)
       11    0.000    0.000    0.000    0.000 argparse.py:1592(_check_conflict)
       11    0.000    0.000    0.000    0.000 argparse.py:1816(_add_action)
        6    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       57    0.000    0.000    0.000    0.000 util.py:206(<genexpr>)
       45    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       48    0.000    0.000    0.000    0.000 util.py:208(<genexpr>)
