Opening graph file ten_spot_hexlike.graph ...
File opened, performing sanity checks ...
    ... sanity checks passed!

All paths examined!
    No solutions found!
         3426 function calls (3389 primitive calls) in 2.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/5    0.000    0.000    0.000    0.000 sre_parse.py:436(_parse_sub)
        5    0.000    0.000    0.001    0.000 sre_compile.py:783(compile)
       11    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       69    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        5    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
       11    0.000    0.000    0.000    0.000 argparse.py:603(_format_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1882(_parse_known_args)
  184/170    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 sre_compile.py:622(_code)
       30    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.000    0.000 sre_parse.py:944(parse)
       37    0.000    0.000    0.000    0.000 argparse.py:1375(register)
       11    0.000    0.000    0.000    0.000 argparse.py:832(__init__)
       24    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       25    0.000    0.000    0.000    0.000 os.py:754(encode)
       32    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 argparse.py:1705(__init__)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 argparse.py:1654(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1843(parse_known_args)
        4    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
        5    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        3    0.000    0.000    0.000    0.000 gettext.py:598(translation)
       11    0.000    0.000    0.001    0.000 argparse.py:2553(_get_formatter)
       30    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
       72    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 argparse.py:918(__init__)
       73    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1632(__init__)
       25    0.000    0.000    0.001    0.000 re.py:250(compile)
       23    0.000    0.000    0.000    0.000 argparse.py:1379(_registry_get)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2431(_get_values)
       10    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       11    0.000    0.000    0.000    0.000 argparse.py:1579(_pop_action_class)
       22    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    2.296    2.296 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1929(take_action)
      5/4    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 argparse.py:1950(consume_optional)
       20    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
        4    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        8    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       11    0.000    0.000    0.000    0.000 argparse.py:1816(_add_action)
        5    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       11    0.000    0.000    0.000    0.000 types.py:171(__get__)
       11    0.000    0.000    0.000    0.000 argparse.py:1592(_check_conflict)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 argparse.py:2157(_match_argument)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
       24    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 argparse.py:2487(_get_value)
       25    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:702(_from_parts)
       14    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1455(add_argument_group)
        4    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       10    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       11    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       11    0.000    0.000    0.000    0.000 argparse.py:587(_metavar_formatter)
